"Area","Date","Daily-Confirmed","Daily-Deceased","Daily-Other","Daily-Recovered","Daily-Tested","Daily-Vaccinated1","Daily-Vaccinated2","7DMA-Confirmed","7DMA-Deceased","7DMA-Other","7DMA-Recovered","7DMA-Tested","7DMA-Vaccinated1","7DMA-Vaccinated2","Total-Confirmed","Total-Deceased","Total-Others","Total-Recovered","Total-Tested","Total-Vaccinated1","Total-Vaccinated2"
"INDIA","2020-01-30","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"INDIA","2020-02-02","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0"
"INDIA","2020-02-03","1","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0"
"INDIA","2020-02-14","0","0","0","3","0","0","0","0","0","0","3","0","0","0","3","0","0","3","0","0","0"
"INDIA","2020-03-02","2","0","0","0","0","0","0","2","0","0","0","0","0","0","5","0","0","3","0","0","0"
"INDIA","2020-03-03","1","0","0","0","0","0","0","3","0","0","0","0","0","0","6","0","0","3","0","0","0"
"INDIA","2020-03-04","22","0","0","0","0","0","0","25","0","0","0","0","0","0","28","0","0","3","0","0","0"
"INDIA","2020-03-05","2","0","0","0","0","0","0","27","0","0","0","0","0","0","30","0","0","3","0","0","0"
"INDIA","2020-03-06","1","0","0","0","0","0","0","28","0","0","0","0","0","0","31","0","0","3","0","0","0"
"INDIA","2020-03-07","3","0","0","0","0","0","0","31","0","0","0","0","0","0","34","0","0","3","0","0","0"
"INDIA","2020-03-08","5","0","0","0","0","0","0","36","0","0","0","0","0","0","39","0","0","3","0","0","0"
"INDIA","2020-03-09","9","0","0","0","0","0","0","43","0","0","0","0","0","0","48","0","0","3","0","0","0"
"INDIA","2020-03-10","15","0","0","0","0","0","0","57","0","0","0","0","0","0","63","0","0","3","0","0","0"
"INDIA","2020-03-11","8","0","0","0","0","0","0","43","0","0","0","0","0","0","71","0","0","3","0","0","0"
"INDIA","2020-03-12","10","0","0","0","0","0","0","51","0","0","0","0","0","0","81","0","0","3","0","0","0"
"INDIA","2020-03-13","10","1","0","0","6500","0","0","60","1","0","0","6500","0","0","91","1","0","3","6500","0","0"
"INDIA","2020-03-14","11","0","3","0","0","0","0","68","1","3","0","6500","0","0","102","1","3","3","6500","0","0"
"INDIA","2020-03-15","10","0","0","0","0","0","0","73","1","3","0","6500","0","0","112","1","3","3","6500","0","0"
"INDIA","2020-03-16","14","0","0","0","0","0","0","78","1","3","0","6500","0","0","126","1","3","3","6500","0","0"
"INDIA","2020-03-17","20","0","0","0","0","0","0","83","1","3","0","6500","0","0","146","1","3","3","6500","0","0"
"INDIA","2020-03-18","25","0","0","0","6625","0","0","100","1","3","0","13125","0","0","171","1","3","3","13125","0","0"
"INDIA","2020-03-19","27","0","0","0","1050","0","0","117","1","3","0","14175","0","0","198","1","3","3","14175","0","0"
"INDIA","2020-03-20","58","0","0","1","1229","0","0","165","0","3","1","8904","0","0","256","1","3","4","15404","0","0"
"INDIA","2020-03-21","78","0","0","0","1507","0","0","232","0","0","1","10411","0","0","334","1","3","4","16911","0","0"
"INDIA","2020-03-22","69","0","0","0","1216","0","0","291","0","0","1","11627","0","0","403","1","3","4","18127","0","0"
"INDIA","2020-03-23","94","0","0","0","2580","0","0","371","0","0","1","14207","0","0","497","1","3","4","20707","0","0"
"INDIA","2020-03-24","74","0","0","2","1987","0","0","425","0","0","3","16194","0","0","571","1","3","6","22694","0","0"
"INDIA","2020-03-25","86","0","0","0","2450","0","0","486","0","0","3","12019","0","0","657","1","3","6","25144","0","0"
"INDIA","2020-03-26","73","1","0","0","2544","0","0","532","1","0","3","13513","0","0","730","2","3","6","27688","0","0"
"INDIA","2020-03-27","153","1","0","2","0","0","0","627","2","0","4","12284","0","0","883","3","3","8","27688","0","0"
"INDIA","2020-03-28","136","0","0","0","0","0","0","685","2","0","4","10777","0","0","1019","3","3","8","27688","0","0"
"INDIA","2020-03-29","120","25","0","91","0","0","0","736","27","0","95","9561","0","0","1139","28","3","99","27688","0","0"
"INDIA","2020-03-30","187","13","0","42","10754","0","0","829","40","0","137","17735","0","0","1326","41","3","141","38442","0","0"
"INDIA","2020-03-31","309","6","0","19","4346","0","0","1064","46","0","154","20094","0","0","1635","47","3","160","42788","0","0"
"INDIA","2020-04-01","424","11","0","9","5163","0","0","1402","57","0","163","22807","0","0","2059","58","3","169","47951","0","0"
"INDIA","2020-04-02","486","11","0","22","7900","0","0","1815","67","0","185","28163","0","0","2545","69","3","191","55851","0","0"
"INDIA","2020-04-03","560","14","0","39","13394","0","0","2222","80","0","222","41557","0","0","3105","83","3","230","69245","0","0"
"INDIA","2020-04-04","579","13","0","56","10705","0","0","2665","93","0","278","52262","0","0","3684","96","3","286","79950","0","0"
